Lake;Experiment;TP ;Chla ;DOC;Temperature;Chla_flu;PAR_I;PAR_II;PAR_III;TN
Svartberget;2;8.32;0.10665;16.34;;;18;9;1;0.2833
Svartberget;2;8.78;0.10665;17.19;;;2;0;0;0.3086
Svartberget;2;9.29;0.30537;16.58;;;18;9;0;0.26
Svartberget;2;10.4;NA;16.78;;;1;0;0;0.3142
Svartberget;2;10.04;0.10665;16. Jul;;;2;0;0;0.3212
Svartberget;2;10.06;NA;16.64;;;15;8;0;0.2194
Svartberget;2;11.95;0.09567;26.78;;;19;9;0;0.2973
Erken;1;13.04;123.678;13.25;14.89;0.70;1200;214;130;0.6154
Erken;1;13.93;114.471;Dez 26;15. Jul;0.81;1241;300;123;0.5757
Erken;1;16.62;123.678;Nov 99;14.98;0.80;1220;266;195;0.524
Erken;1;18.67;134.343;Nov 98;15. Apr;0.66;1280;1000;188;0.5417
Erken;1;13.17;105.192;Dez 42;15. Jul;0.89;1215;215;104;0.5513
Erken;1;13,00;123.678;Dez 56;15.15;0.62;1220;267;181;0.5047
Erken;1;11.17;105.264;Dez 31;15.26;0.61;1292;1078;199;0.515
Erken;1;11.5;0.93141;Dez 31;15. Okt;0.73;1294;1100;195;0.48
Erken;1;12.16;155.673;Dez 19;15.13;0.64;1228;997;170;0.4861
Erken;1;13.69;134.343;12. Aug;15.21;0.57;1222;264;178;0.5132
Erken;1;12.01;125.064;Dez 22;15.19;0.55;1330;1120;205;0.47
Erken;1;11.59;134.343;Dez 28;15.20;0.68;1254;1100;207;0.5336
Erken;1;12.82;145.008;Dez 26;15.18;0.71;1214;997;212;0.521
Erken;1;12.26;146.394;Dez 57;15.20;0.60;1267;1080;197;0.4627
Erken;1;12.17;0.94599;Nov 98;15.21;0.50;1293;421;195;0.4725
Erken;1;11.34;114.399;Dez 15;15.13;0.56;1254;1062;220;0.4728
Erken;1;12.71;175.617;12. Mär;15.86;01. Jun;1160;860;663;0.4783
Erken;1;13.95;0.31995;NA;16. Mär;0.58;400;247;129;0.4846
Erken;1;14.47;0.51939;NA;16. Mär;0.49;414;235;121;0.5186
Erken;1;12.92;0.31995;NA;16. Aug;0.71;340;169;85;0.4549
Erken;1;13.78;0.53397;NA;16.18;0.59;335;151;91;0.5318
Erken;1;13.32;0.51867;NA;16. Mai;0.71;349;141;79;0.4827
Erken;1;14.86;0.53325;NA;16. Nov;0.66;351;134;77;0.5227
Erken;1;11.52;0.17318571429;NA;16. Jun;0.46;551;292;158;0.4619
Erken;1;11.23;0.62532;NA;16. Jul;0.66;648;400;180;0.482
Erken;1;14.17;0.53397;NA;16.13;0.53;450;265;90;0.5077
Erken;1;21.98;0.4266;NA;16.16;0.49;654;475;175;0.5303
Erken;1;12.8;0.31995;NA;16. Nov;0.40;713;335;173;0.509
Erken;1;12.13;0.32067;NA;16. Nov;0.50;521;183;98;0.467
Erken;1;13.66;0.42732;NA;16. Dez;0.47;685;410;173;0.4699
Erken;1;13.25;0.41202;NA;16.24;0.56;500;160;96;0.4857
Erken;1;12.1;0.51867;NA;16.19;0.50;511;154;102;0.4754
Erken;1;12.01;0.30609;NA;16.16;0.32;691;450;172;0.4681
Erken;1;12.37;0.93141;NA;16. Okt;01. Feb;670;488;389;0.4764
Erken;1;14.91;134.343;NA;16.42;Jan 62;230;145;"
91";0.494
Erken;1;15.1;0.83862;NA;16.46;Jan 85;195;136;83;0.478
Erken;1;15.55;0.33453;NA;16.83;Jan 43;112;80;45;0.4664
Erken;1;14.65;235.161;NA;16.84;03. Dez;121;85;54;0.5317
Erken;1;14.45;0.62604;NA;16.94;Jan 64;118;75;38;0.4985
Erken;1;15.2;155.673;NA;17;Feb 72;105;65;38;0.4834
Erken;1;13.57;0.71811;NA;16.89;0.99;170;105;65;0.4357
